Project,Despach N° RA-20XX-XXXX,SampleID_Init,SampleID_Fin,TotalSample_SE,Weight SE,SampleType,Target,Laboratory,Prepared Method,Analytical Method,DispatchDate,Over Limit,Analytes,ReceivedDate,ResultDate,Workorder,Location,Responsible
BRAR,RA-2023-0107,BR0013957,BR0014000,44,98.39,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/18/2023,NA,NA,5/22/2023,7/13/2023,GQ2306096,VESPASIANO/MG,SDS
BRAR,RA-2023-0108,BR0014001,BR0014051,51,131.62,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/24/2023,NA,NA,5/29/2023,7/4/2023,GQ2306394,VESPASIANO/MG,SDS
BRAR,RA-2023-0109,BR0014052,BR0014085,34,85.55,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/24/2023,NA,NA,5/29/2023,7/11/2023,GQ2306397,VESPASIANO/MG,SDS
BRAR,RA-2023-0110,BR0014086,BR0014136,51,130.83,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/24/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb + Th e U,5/29/2023,7/13/2023,GQ2306398,VESPASIANO/MG,SDS
BRAR,RA-2023-0111,BR0014137,BR0014184,48,110.65,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/24/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb + Th e U,5/29/2023,7/13/2023,GQ2306399,VESPASIANO/MG,SDS
BRAR,RA-2023-0112,BR0014185,BR0014227,43,105.92,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/24/2023,NA,Ce-Dy- Gd- La- Nd- Pr- Sm e Tb + Th e U,5/29/2023,7/13/2023,GQ2306400,VESPASIANO/MG,SDS
BRAR,RA-2023-0113,BR0014228,BR0014286,59,137.02,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,5/24/2023,NA,NA,5/29/2023,7/17/2023,GQ2306401,VESPASIANO/MG,SDS
BRAR,RA-2023-0114,BR0014287,BR0014346,60,136.89,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,6/1/2023,NA,NA,6/7/2023,7/12/2023,GQ2306959,VESPASIANO/MG,SDS
BRAR,RA-2023-0115,BR0014347,BR0014391,45,121.41,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,6/1/2023,NA,NA,6/7/2023,7/26/2023,GQ2306960,VESPASIANO/MG,SDS
BRAR,RA-2023-0116,BR0014392,BR0014427,36,93.34,RC,Aratama,SGS,PRPCL_FORT,ICP95A / IMS95A,6/1/2023,NA,NA,6/7/2023,7/18/2023,GQ2306961,VESPASIANO/MG,SDS
